No.,Player,Ht
24,Buddy Hield,6-4
00,Bennedict Mathurin,6-6
25,Jalen Smith,6-10
9,T.J. McConnell,6-1
2,Andrew Nembhard,6-5
12,Oshae Brissett,6-7
0,Tyrese Haliburton,6-5
23,Aaron Nesmith,6-5
33,Myles Turner,6-11
22,Isaiah Jackson,6-10
3,Chris Duarte,6-6
21,Terry Taylor,6-5
88,Goga Bitadze,6-11
16,James Johnson,6-7
10,Kendall Brown  (TW),6-8
8,Trevelin Queen  (TW),6-6
,Daniel Theis,6-8
