No.,Player,Ht
9,Bobby Portis,6-10
5,Jevon Carter,6-1
11,Brook Lopez,7-0
12,Grayson Allen,6-4
34,Giannis Antetokounmpo,7-0
21,Jrue Holiday,6-3
3,George Hill,6-4
13,Jordan Nwora,6-8
0,MarJon Beauchamp,6-6
24,Pat Connaughton,6-5
23,Wesley Matthews,6-4
20,A.J. Green  (TW),6-4
43,Thanasis Antetokounmpo,6-6
54,Sandro Mamukelashvili  (TW),6-11
25,Serge Ibaka,6-10
7,Joe Ingles,6-8
22,Khris Middleton,6-7
