No.,Player,Ht
44,Bojan Bogdanović,6-7
7,Killian Hayes,6-5
23,Jaden Ivey,6-4
41,Saddiq Bey,6-7
6,Hamidou Diallo,6-5
0,Jalen Duren,6-10
28,Isaiah Stewart,6-8
20,Kevin Knox,6-7
5,Alec Burks,6-6
18,Cory Joseph,6-3
12,Isaiah Livers,6-7
35,Marvin Bagley III,6-11
17,Rodney McGruder,6-4
2,Cade Cunningham,6-6
9,Nerlens Noel,6-11
8,Jared Rhoden  (TW),6-6
27,Buddy Boeheim  (TW),6-6
