No.,Player,Ht
35,Isaac Okoro,6-5
4,Evan Mobley,7-0
16,Cedi Osman,6-7
3,Caris LeVert,6-6
45,Donovan Mitchell,6-1
31,Jarrett Allen,6-11
0,Kevin Love,6-8
10,Darius Garland,6-1
8,Lamar Stevens,6-6
19,Raul Neto,6-1
33,Robin Lopez,7-0
32,Dean Wade,6-9
21,Mamadi Diakite  (TW),6-9
15,Isaiah Mobley  (TW),6-10
13,Ricky Rubio,6-2
,Dylan Windler,6-6
