No.,Player,Ht
21,Tyus Jones,6-0
7,Santi Aldama,6-11
24,Dillon Brooks,6-7
4,Steven Adams,6-11
46,John Konchar,6-5
15,Brandon Clarke,6-8
27,David Roddy,6-6
12,Ja Morant,6-3
13,Jaren Jackson Jr.,6-11
2,Xavier Tillman Sr.,6-8
22,Desmond Bane,6-5
3,Jake LaRavia,6-8
1,Kennedy Chandler,6-0
8,Ziaire Williams,6-8
5,Vince Williams Jr.  (TW),6-6
6,Kenneth Lofton Jr.  (TW),6-7
,Danny Green,6-6
