No.,Player,Ht
33,Tre Jones,6-1
3,Keldon Johnson,6-5
17,Doug McDermott,6-7
10,Jeremy Sochan,6-9
25,Jakob Poeltl,7-1
7,Josh Richardson,6-5
23,Zach Collins,6-11
31,Keita Bates-Diop,6-8
22,Malaki Branham,6-5
18,Isaiah Roby,6-8
35,Romeo Langford,6-4
24,Devin Vassell,6-5
28,Charles Bassey  (TW),6-11
34,Stanley Johnson,6-6
14,Blake Wesley,6-5
26,Dominick Barlow  (TW),6-9
