No.,Player,Ht
6,Kenyon Martin Jr.,6-6
17,Tari Eason,6-8
4,Jalen Green,6-4
1,Jabari Smith Jr.,6-10
16,Usman Garuba,6-8
28,Alperen Şengün,6-9
3,Kevin Porter Jr.,6-4
10,Eric Gordon,6-3
25,Garrison Mathews,6-5
15,Daishen Nix,6-5
9,Josh Christopher,6-5
20,Bruno Fernando,6-9
51,Boban Marjanović,7-3
0,TyTy Washington Jr.,6-3
8,Jae'Sean Tate,6-4
12,Trevor Hudgins  (TW),6-0
,Darius Days  (TW),6-7
