No.,Player,Ht
17,Jonas Valančiūnas,6-11
4,Devonte' Graham,6-1
15,Jose Alvarado,6-0
25,Trey Murphy III,6-9
8,Naji Marshall,6-7
3,CJ McCollum,6-3
11,Dyson Daniels,6-8
22,Larry Nance Jr.,6-7
5,Herbert Jones,6-8
1,Zion Williamson,6-6
10,Jaxson Hayes,6-11
9,Willy Hernangómez,6-11
14,Brandon Ingram,6-8
41,Garrett Temple,6-5
13,Kira Lewis Jr.,6-1
0,Dereon Seabron  (TW),6-7
,E.J. Liddell  (TW),6-7
