No.,Player,Ht
26,Spencer Dinwiddie,6-5
25,Reggie Bullock,6-6
11,Tim Hardaway Jr.,6-5
77,Luka Dončić,6-7
35,Christian Wood,6-10
7,Dwight Powell,6-10
10,Dorian Finney-Smith,6-7
00,JaVale McGee,7-0
44,Dāvis Bertāns,6-10
8,Josh Green,6-5
21,Frank Ntilikina,6-4
1,Theo Pinson,6-5
42,Maxi Kleber,6-10
3,Jaden Hardy,6-4
23,McKinley Wright IV  (TW),6-0
9,A.J. Lawson  (TW),6-6
