No.,Player,Ht
20,Georges Niang,6-7
17,P.J. Tucker,6-5
8,De'Anthony Melton,6-2
12,Tobias Harris,6-8
18,Shake Milton,6-5
5,Montrezl Harrell,6-7
22,Matisse Thybulle,6-5
44,Paul Reed,6-9
21,Joel Embiid,7-0
25,Danuel House Jr.,6-6
1,James Harden,6-5
0,Tyrese Maxey,6-2
30,Furkan Korkmaz,6-7
11,Jaden Springer,6-4
55,Julian Champagnie  (TW),6-8
,Louis King  (TW),6-7
