No.,Player,Ht
00,Royce O'Neale,6-4
11,Kyrie Irving,6-2
18,Yuta Watanabe,6-9
33,Nic Claxton,6-11
13,Markieff Morris,6-9
30,Seth Curry,6-2
24,Cam Thomas,6-4
10,Ben Simmons,6-10
1,T.J. Warren,6-8
14,Kessler Edwards,6-8
6,David Duke Jr.  (TW),6-5
8,Patty Mills,6-1
7,Kevin Durant,6-10
20,Day'Ron Sharpe,6-11
,Dru Smith  (TW),6-3
12,Joe Harris,6-6
4,Edmond Sumner,6-4
