No.,Player,Ht
4,Scottie Barnes,6-9
3,OG Anunoby,6-7
25,Chris Boucher,6-9
35,Christian Koloko,7-1
33,Gary Trent Jr.,6-5
23,Fred VanVleet,6-1
43,Pascal Siakam,6-9
21,Thaddeus Young,6-8
41,Juancho Hernangómez,6-9
22,Malachi Flynn,6-1
5,Precious Achiuwa,6-8
45,Dalano Banton,6-9
24,Khem Birch,6-9
20,Jeff Dowtin  (TW),6-3
32,Otto Porter Jr.,6-8
8,Ron Harper Jr.  (TW),6-6
11,Joe Wieskamp,6-6
