No.,Player,Ht
9,Derrick White,6-4
12,Grant Williams,6-6
30,Sam Hauser,6-8
0,Jayson Tatum,6-8
7,Jaylen Brown,6-6
13,Malcolm Brogdon,6-5
36,Marcus Smart,6-3
40,Luke Kornet,7-2
42,Al Horford,6-9
11,Payton Pritchard,6-1
43,Justin Jackson,6-8
91,Blake Griffin,6-9
44,Robert Williams,6-9
20,JD Davison  (TW),6-3
28,Mfiondu Kabengele  (TW),6-9
,Danilo Gallinari,6-10
