No.,Player,Ht
30,Julius Randle,6-8
5,Immanuel Quickley,6-3
55,Isaiah Hartenstein,7-0
11,Jalen Brunson,6-1
9,RJ Barrett,6-6
23,Mitchell Robinson,7-0
6,Quentin Grimes,6-5
2,Miles McBride,6-2
45,Jericho Sims,6-10
1,Obi Toppin,6-9
4,Derrick Rose,6-3
0,Cam Reddish,6-8
13,Evan Fournier,6-7
17,Svi Mykhailiuk,6-7
51,Ryan Arcidiacono,6-3
3,Trevor Keels  (TW),6-5
,DaQuan Jeffries  (TW),6-5
