Player,Pos,Age,Tm,Player-additional
Malachi Flynn,PG,24,TOR,flynnma01
Simone Fontecchio,SF,27,UTA,fontesi01
Bryn Forbes,SG,29,MIN,forbebr01
Trent Forrest,PG,24,ATL,forretr01
Michael Foster Jr.,PF,20,PHI,fostemi02
Evan Fournier,SG,30,NYK,fournev01
De'Aaron Fox,PG,25,SAC,foxde01
Markelle Fultz,PG,24,ORL,fultzma01
Wenyen Gabriel,PF,25,LAL,gabriwe01
Daniel Gafford,C,24,WAS,gaffoda01
Darius Garland,PG,23,CLE,garlada01
Usman Garuba,PF,20,HOU,garubus01
Luka Garza,C,24,MIN,garzalu01
Rudy Gay,PF,36,UTA,gayru01
Paul George,SF,32,LAC,georgpa01
Taj Gibson,C,37,WAS,gibsota01
Josh Giddey,SG,20,OKC,giddejo01
Shai Gilgeous-Alexander,PG,24,OKC,gilgesh01
Anthony Gill,PF,30,WAS,gillan01
Rudy Gobert,C,30,MIN,goberru01
Jordan Goodwin,PG,24,WAS,goodwjo01
Aaron Gordon,PF,27,DEN,gordoaa01
Eric Gordon,SG,34,HOU,gordoer01
Devonte' Graham,PG,27,NOP,grahade01
Jerami Grant,PF,28,POR,grantje01
A.J. Green,SG,23,MIL,greenaj01
Draymond Green,PF,32,GSW,greendr01
Jalen Green,SG,20,HOU,greenja05
JaMychal Green,PF,32,GSW,greenja01
Javonte Green,SG,29,CHI,greenja02
Jeff Green,PF,36,DEN,greenje02
Josh Green,SG,22,DAL,greenjo02
AJ Griffin,SF,19,ATL,griffaj01
Blake Griffin,C,33,BOS,griffbl01
Quentin Grimes,SG,22,NYK,grimequ01
Rui Hachimura,PF,24,WAS,hachiru01
Tyrese Haliburton,PG,22,IND,halibty01
Jordan Hall,SF,21,SAS,halljo02
R.J. Hampton,PG,21,ORL,hamptrj01
Tim Hardaway Jr.,SG,30,DAL,hardati02
James Harden,PG,33,PHI,hardeja01
Jaden Hardy,SG,20,DAL,hardyja02
Ron Harper Jr.,SF,22,TOR,harpero02
Montrezl Harrell,C,29,PHI,harremo01
Gary Harris,SG,28,ORL,harriga01
Joe Harris,SG,31,BRK,harrijo01
Kevon Harris,SG,25,ORL,harrike01
Tobias Harris,PF,30,PHI,harrito02
Josh Hart,SF,27,POR,hartjo01
Isaiah Hartenstein,C,24,NYK,harteis01
Udonis Haslem,C,42,MIA,hasleud01
Sam Hauser,PF,25,BOS,hausesa01
Jaxson Hayes,C,22,NOP,hayesja02
Killian Hayes,PG,21,DET,hayeski01
Gordon Hayward,SF,32,CHO,haywago01
Juancho Hernangómez,PF,27,TOR,hernaju01
Willy Hernangómez,C,28,NOP,hernawi01
Tyler Herro,SG,23,MIA,herroty01
Buddy Hield,SF,30,IND,hieldbu01
Haywood Highsmith,SF,26,MIA,highsha01
George Hill,PG,36,MIL,hillge01
Malcolm Hill,SF,27,CHI,hillma01
Aaron Holiday,PG,26,ATL,holidaa01
Jrue Holiday,PG,32,MIL,holidjr01
Justin Holiday,SG,33,ATL,holidju01
Richaun Holmes,C,29,SAC,holmeri01
Al Horford,C,36,BOS,horfoal01
Talen Horton-Tucker,SG,22,UTA,hortota01
Danuel House Jr.,SF,29,PHI,houseda01
Caleb Houstan,SF,20,ORL,houstca01
Trevor Hudgins,PG,23,HOU,hudgitr01
Kevin Huerter,SG,24,SAC,huertke01
De'Andre Hunter,SF,25,ATL,huntede01
Bones Hyland,PG,22,DEN,hylanbo01
Serge Ibaka,C,33,MIL,ibakase01
Andre Iguodala,SF,39,GSW,iguodan01
Joe Ingles,SF,35,MIL,inglejo01
Brandon Ingram,SF,25,NOP,ingrabr01
Kyrie Irving,PG,30,BRK,irvinky01
Jaden Ivey,SG,20,DET,iveyja01
Isaiah Jackson,C,21,IND,jacksis01
Jaren Jackson Jr.,C,23,MEM,jacksja02
Justin Jackson,SF,27,BOS,jacksju01
Reggie Jackson,PG,32,LAC,jacksre01
LeBron James,PF,38,LAL,jamesle01
Ty Jerome,SG,25,GSW,jeromty01
Isaiah Joe,SG,23,OKC,joeis01
Alize Johnson,PF,26,SAS,johnsal02
Cameron Johnson,PF,26,PHO,johnsca02
Jalen Johnson,SF,21,ATL,johnsja05
James Johnson,PF,35,IND,johnsja01
Keldon Johnson,SF,23,SAS,johnske04
Keon Johnson,SG,20,POR,johnske07
Stanley Johnson,SF,26,SAS,johnsst04
Nikola Jokić,C,27,DEN,jokicni01
Carlik Jones,PG,25,CHI,jonesca03
Damian Jones,C,27,LAL,jonesda03
Derrick Jones Jr.,SF,25,CHI,jonesde02
Herbert Jones,SF,24,NOP,joneshe01
Kai Jones,C,22,CHO,joneska01
Tre Jones,PG,23,SAS,jonestr01
Tyus Jones,PG,26,MEM,jonesty01
DeAndre Jordan,C,34,DEN,jordade01
Cory Joseph,PG,31,DET,josepco01
Nikola Jović,PF,19,MIA,jovicni01
Mfiondu Kabengele,PF,25,BOS,kabenmf01
Frank Kaminsky,C,29,ATL,kaminfr01
Trevor Keels,SG,19,NYK,keelstr01
Luke Kennard,SG,26,LAC,kennalu01
Walker Kessler,C,21,UTA,kesslwa01
Braxton Key,SF,25,DET,keybr01
Corey Kispert,SF,23,WAS,kispeco01
Maxi Kleber,C,31,DAL,klebima01
Nathan Knight,PF,25,MIN,knighna01
Kevin Knox,PF,23,DET,knoxke01
Christian Koloko,C,22,TOR,kolokch01
John Konchar,SG,26,MEM,konchjo01
Furkan Korkmaz,SG,25,PHI,korkmfu01
Luke Kornet,C,27,BOS,kornelu01
Vit Krejci,PG,22,ATL,krejcvi01
Jonathan Kuminga,PF,20,GSW,kuminjo01
Kyle Kuzma,PF,27,WAS,kuzmaky01
Anthony Lamb,SF,25,GSW,lamban01
Jock Landale,C,27,PHO,landajo01
Romeo Langford,SG,23,SAS,langfro01
Jake LaRavia,PF,21,MEM,laravja01
Zach LaVine,SG,27,CHI,lavinza01
A.J. Lawson,SG,22,TOT,lawsoaj01
A.J. Lawson,SG,22,MIN,lawsoaj01
A.J. Lawson,SG,22,DAL,lawsoaj01
Damion Lee,SG,30,PHO,leeda03
Saben Lee,PG,23,TOT,leesa01
Saben Lee,PG,23,PHI,leesa01
Saben Lee,PG,23,PHO,leesa01
Alex Len,C,29,SAC,lenal01
Kawhi Leonard,SF,31,LAC,leonaka01
Caris LeVert,SG,28,CLE,leverca01
Kira Lewis Jr.,PG,21,NOP,lewiski01
Damian Lillard,PG,32,POR,lillada01
Nassir Little,SF,22,POR,littlna01
Isaiah Livers,PF,24,DET,liveris01
Kenneth Lofton Jr.,PF,20,MEM,loftoke01
Kevon Looney,C,26,GSW,looneke01
Brook Lopez,C,34,MIL,lopezbr01
Robin Lopez,C,34,CLE,lopezro01
Kevin Love,PF,34,CLE,loveke01
Kyle Lowry,PG,36,MIA,lowryky01
Trey Lyles,PF,27,SAC,lylestr01
Théo Maledon,PG,21,CHO,maledth01
Sandro Mamukelashvili,C,23,MIL,mamuksa01
Terance Mann,SG,26,LAC,mannte01
Tre Mann,PG,21,OKC,manntr01
Boban Marjanović,C,34,HOU,marjabo01
Lauri Markkanen,SF,25,UTA,markkla01
Naji Marshall,SF,25,NOP,marshna01
Caleb Martin,PF,27,MIA,martica02
Cody Martin,SF,27,CHO,martico01
Kenyon Martin Jr.,SF,22,HOU,martike04
Tyrese Martin,SG,23,ATL,martity01
Garrison Mathews,SG,26,HOU,mathega01
Bennedict Mathurin,SF,20,IND,mathube01
Wesley Matthews,SG,36,MIL,matthwe02
Tyrese Maxey,SG,22,PHI,maxeyty01
Miles McBride,PG,22,NYK,mcbrimi01
CJ McCollum,SG,31,NOP,mccolcj01
T.J. McConnell,PG,30,IND,mccontj01
Jaden McDaniels,PF,22,MIN,mcdanja02
Jalen McDaniels,SF,25,CHO,mcdanja01
Doug McDermott,SF,31,SAS,mcderdo01
JaVale McGee,C,35,DAL,mcgeeja01
Bryce McGowens,SG,20,CHO,mcgowbr01
Rodney McGruder,SG,31,DET,mcgruro01
Jordan McLaughlin,PG,26,MIN,mclaujo01
De'Anthony Melton,PG,24,PHI,meltode01
Chimezie Metu,C,25,SAC,metuch01
Khris Middleton,SF,31,MIL,middlkh01
Patty Mills,PG,34,BRK,millspa02
Shake Milton,SG,26,PHI,miltosh01
Josh Minott,SF,20,MIN,minotjo01
Davion Mitchell,PG,24,SAC,mitchda01
Donovan Mitchell,SG,26,CLE,mitchdo01
Evan Mobley,PF,21,CLE,mobleev01
Isaiah Mobley,PF,23,CLE,mobleis01
Chima Moneke,SF,27,SAC,monekch01
Malik Monk,SG,24,SAC,monkma01
Moses Moody,SG,20,GSW,moodymo01
