Player,Pos,Age,Tm,No.,Ht,Div,Conf
445,Xavier Tillman Sr.,PF,24,MEM,2.0,6.666666666666667,SW,West
446,Isaiah Todd,PF,21,WAS,14.0,6.833333333333333,SE,East
447,Obi Toppin,PF,24,NYK,1.0,6.75,Atl.,East
448,Juan Toscano-Anderson,SF,29,LAL,95.0,6.5,Pac.,West
449,Karl-Anthony Towns,PF,27,MIN,32.0,6.916666666666667,NW,West
450,Gary Trent Jr.,SG,24,TOR,33.0,6.416666666666667,Atl.,East
451,P.J. Tucker,PF,37,PHI,17.0,6.416666666666667,Atl.,East
452,Myles Turner,C,26,IND,33.0,6.916666666666667,Cen.,East
453,Jonas Valančiūnas,C,30,NOP,17.0,6.916666666666667,SW,West
454,Jarred Vanderbilt,PF,23,UTA,8.0,6.75,NW,West
455,Fred VanVleet,PG,28,TOR,23.0,6.083333333333333,Atl.,East
456,Devin Vassell,SG,22,SAS,24.0,6.416666666666667,SW,West
457,Gabe Vincent,PG,26,MIA,2.0,6.25,SE,East
459,Nikola Vučević,C,32,CHI,9.0,6.833333333333333,Cen.,East
460,Dean Wade,PF,26,CLE,32.0,6.75,Cen.,East
461,Franz Wagner,SF,21,ORL,22.0,6.75,SE,East
462,Moritz Wagner,C,25,ORL,21.0,6.916666666666667,SE,East
464,Jabari Walker,SF,20,POR,34.0,6.75,NW,West
466,Lonnie Walker IV,SG,24,LAL,4.0,6.333333333333333,Pac.,West
467,John Wall,PG,32,LAC,11.0,6.25,Pac.,West
468,T.J. Warren,PF,29,BRK,1.0,6.666666666666667,Atl.,East
470,P.J. Washington,PF,24,CHO,25.0,6.583333333333333,SE,East
471,TyTy Washington Jr.,PG,21,HOU,0.0,6.25,SW,West
472,Yuta Watanabe,SF,28,BRK,18.0,6.75,Atl.,East
474,Trendon Watford,PF,22,POR,2.0,6.75,NW,West
475,Peyton Watson,SG,20,DEN,8.0,6.666666666666667,NW,West
476,Blake Wesley,SG,19,SAS,14.0,6.416666666666667,SW,West
477,Russell Westbrook,PG,34,LAL,0.0,6.25,Pac.,West
478,Coby White,SG,22,CHI,0.0,6.416666666666667,Cen.,East
479,Derrick White,SG,28,BOS,9.0,6.333333333333333,Atl.,East
481,Joe Wieskamp,SF,23,TOR,11.0,6.5,Atl.,East
482,Aaron Wiggins,SG,24,OKC,21.0,6.5,NW,West
483,Andrew Wiggins,SF,27,GSW,22.0,6.583333333333333,Pac.,West
485,Grant Williams,PF,24,BOS,12.0,6.5,Atl.,East
486,Jalen Williams,SG,21,OKC,8.0,6.5,NW,West
487,Jaylin Williams,PF,20,OKC,6.0,6.833333333333333,NW,West
488,Kenrich Williams,PF,28,OKC,34.0,6.5,NW,West
489,Mark Williams,C,21,CHO,5.0,7.083333333333333,SE,East
490,Patrick Williams,PF,21,CHI,44.0,6.583333333333333,Cen.,East
491,Robert Williams,C,25,BOS,44.0,6.75,Atl.,East
493,Ziaire Williams,SF,21,MEM,8.0,6.666666666666667,SW,West
494,Zion Williamson,PF,22,NOP,1.0,6.5,SW,West
495,Justise Winslow,SF,26,POR,26.0,6.5,NW,West
496,James Wiseman,C,21,GSW,33.0,7.0,Pac.,West
497,Christian Wood,C,27,DAL,35.0,6.833333333333333,SW,West
498,Delon Wright,PG,30,WAS,55.0,6.416666666666667,SE,East
500,Thaddeus Young,PF,34,TOR,21.0,6.666666666666667,Atl.,East
501,Trae Young,PG,24,ATL,11.0,6.083333333333333,SE,East
502,Ivica Zubac,C,25,LAC,40.0,7.0,Pac.,West
