Player,Pos,Age,Tm,No.,Ht,Div,Conf
99,Stephen Curry,PG,34,GSW,30.0,6.166666666666667,Pac.,West
100,Dyson Daniels,PG,19,NOP,11.0,6.666666666666667,SW,West
101,Anthony Davis,C,29,LAL,3.0,6.833333333333333,Pac.,West
102,Johnny Davis,SG,20,WAS,1.0,6.416666666666667,SE,East
103,Terence Davis,SG,25,SAC,3.0,6.333333333333333,Pac.,West
105,Dewayne Dedmon,C,33,MIA,21.0,7.0,SE,East
106,Matthew Dellavedova,PG,32,SAC,8.0,6.25,Pac.,West
107,DeMar DeRozan,SF,33,CHI,11.0,6.5,Cen.,East
110,Hamidou Diallo,SG,24,DET,6.0,6.416666666666667,Cen.,East
112,Ousmane Dieng,SF,19,OKC,13.0,6.833333333333333,NW,West
113,Spencer Dinwiddie,PG,29,DAL,26.0,6.416666666666667,SW,West
114,Donte DiVincenzo,SG,26,GSW,0.0,6.333333333333333,Pac.,West
115,Luka Dončić,PG,23,DAL,77.0,6.583333333333333,SW,West
117,Luguentz Dort,SG,23,OKC,5.0,6.25,NW,West
118,Ayo Dosunmu,SG,23,CHI,12.0,6.416666666666667,Cen.,East
122,Goran Dragić,PG,36,CHI,7.0,6.25,Cen.,East
123,Andre Drummond,C,29,CHI,3.0,6.833333333333333,Cen.,East
124,Chris Duarte,SF,25,IND,3.0,6.5,Cen.,East
126,Kevin Durant,PF,34,BRK,7.0,6.833333333333333,Atl.,East
127,Jalen Duren,C,19,DET,0.0,6.833333333333333,Cen.,East
128,Tari Eason,PF,21,HOU,17.0,6.666666666666667,SW,West
129,Anthony Edwards,SG,21,MIN,1.0,6.333333333333333,NW,West
130,Kessler Edwards,SF,22,BRK,14.0,6.666666666666667,Atl.,East
132,Joel Embiid,C,28,PHI,21.0,7.0,Atl.,East
133,Drew Eubanks,C,25,POR,24.0,6.75,NW,West
134,Bruno Fernando,C,24,HOU,20.0,6.75,SW,West
135,Dorian Finney-Smith,PF,29,DAL,10.0,6.583333333333333,SW,West
136,Malachi Flynn,PG,24,TOR,22.0,6.083333333333333,Atl.,East
137,Simone Fontecchio,SF,27,UTA,16.0,6.666666666666667,NW,West
138,Bryn Forbes,SG,29,MIN,10.0,6.166666666666667,NW,West
141,Evan Fournier,SG,30,NYK,13.0,6.583333333333333,Atl.,East
142,De'Aaron Fox,PG,25,SAC,5.0,6.25,Pac.,West
143,Markelle Fultz,PG,24,ORL,20.0,6.25,SE,East
144,Wenyen Gabriel,PF,25,LAL,35.0,6.75,Pac.,West
145,Daniel Gafford,C,24,WAS,21.0,6.833333333333333,SE,East
146,Darius Garland,PG,23,CLE,10.0,6.083333333333333,Cen.,East
147,Usman Garuba,PF,20,HOU,16.0,6.666666666666667,SW,West
149,Rudy Gay,PF,36,UTA,22.0,6.666666666666667,NW,West
150,Paul George,SF,32,LAC,13.0,6.666666666666667,Pac.,West
151,Taj Gibson,C,37,WAS,67.0,6.75,SE,East
152,Josh Giddey,SG,20,OKC,3.0,6.666666666666667,NW,West
153,Shai Gilgeous-Alexander,PG,24,OKC,2.0,6.5,NW,West
154,Anthony Gill,PF,30,WAS,16.0,6.583333333333333,SE,East
155,Rudy Gobert,C,30,MIN,27.0,7.083333333333333,NW,West
157,Aaron Gordon,PF,27,DEN,50.0,6.666666666666667,NW,West
158,Eric Gordon,SG,34,HOU,10.0,6.25,SW,West
159,Devonte' Graham,PG,27,NOP,4.0,6.083333333333333,SW,West
160,Jerami Grant,PF,28,POR,9.0,6.666666666666667,NW,West
162,Draymond Green,PF,32,GSW,23.0,6.5,Pac.,West
163,Jalen Green,SG,20,HOU,4.0,6.333333333333333,SW,West
164,JaMychal Green,PF,32,GSW,1.0,6.666666666666667,Pac.,West
165,Javonte Green,SG,29,CHI,24.0,6.333333333333333,Cen.,East
166,Jeff Green,PF,36,DEN,32.0,6.666666666666667,NW,West
167,Josh Green,SG,22,DAL,8.0,6.416666666666667,SW,West
168,AJ Griffin,SF,19,ATL,14.0,6.5,SE,East
169,Blake Griffin,C,33,BOS,91.0,6.75,Atl.,East
170,Quentin Grimes,SG,22,NYK,6.0,6.416666666666667,Atl.,East
171,Rui Hachimura,PF,24,WAS,8.0,6.666666666666667,SE,East
172,Tyrese Haliburton,PG,22,IND,0.0,6.416666666666667,Cen.,East
174,R.J. Hampton,PG,21,ORL,13.0,6.333333333333333,SE,East
175,Tim Hardaway Jr.,SG,30,DAL,11.0,6.416666666666667,SW,West
176,James Harden,PG,33,PHI,1.0,6.416666666666667,Atl.,East
177,Jaden Hardy,SG,20,DAL,3.0,6.333333333333333,SW,West
179,Montrezl Harrell,C,29,PHI,5.0,6.583333333333333,Atl.,East
180,Gary Harris,SG,28,ORL,14.0,6.333333333333333,SE,East
181,Joe Harris,SG,31,BRK,12.0,6.5,Atl.,East
183,Tobias Harris,PF,30,PHI,12.0,6.666666666666667,Atl.,East
184,Josh Hart,SF,27,POR,11.0,6.416666666666667,NW,West
185,Isaiah Hartenstein,C,24,NYK,55.0,7.0,Atl.,East
186,Udonis Haslem,C,42,MIA,40.0,6.666666666666667,SE,East
187,Sam Hauser,PF,25,BOS,30.0,6.666666666666667,Atl.,East
188,Jaxson Hayes,C,22,NOP,10.0,6.916666666666667,SW,West
189,Killian Hayes,PG,21,DET,7.0,6.416666666666667,Cen.,East
190,Gordon Hayward,SF,32,CHO,20.0,6.583333333333333,SE,East
191,Juancho Hernangómez,PF,27,TOR,41.0,6.75,Atl.,East
192,Willy Hernangómez,C,28,NOP,9.0,6.916666666666667,SW,West
193,Tyler Herro,SG,23,MIA,14.0,6.416666666666667,SE,East
194,Buddy Hield,SF,30,IND,24.0,6.333333333333333,Cen.,East
195,Haywood Highsmith,SF,26,MIA,24.0,6.583333333333333,SE,East
196,George Hill,PG,36,MIL,3.0,6.333333333333333,Cen.,East
