No.,Player,Ht
22,Franz Wagner,6-9
31,Terrence Ross,6-6
10,Bol Bol,7-2
5,Paolo Banchero,6-10
11,Mo Bamba,7-0
2,Caleb Houstan,6-8
50,Cole Anthony,6-2
34,Wendell Carter Jr.,6-10
13,R.J. Hampton,6-4
7,Kevon Harris  (TW),6-6
25,Admiral Schofield  (TW),6-5
20,Markelle Fultz,6-3
21,Moritz Wagner,6-11
4,Jalen Suggs,6-4
3,Chuma Okeke,6-6
14,Gary Harris,6-4
,Jonathan Isaac,6-11
