No.,Player,Ht
33,Kyle Kuzma,6-9
21,Daniel Gafford,6-10
9,Deni Avdija,6-9
6,Kristaps Porziņģis,7-3
22,Monte Morris,6-2
24,Corey Kispert,6-7
5,Will Barton,6-6
7,Jordan Goodwin  (TW),6-3
16,Anthony Gill,6-7
8,Rui Hachimura,6-8
67,Taj Gibson,6-9
3,Bradley Beal,6-4
55,Delon Wright,6-5
1,Johnny Davis,6-5
13,Vernon Carey Jr.,6-9
14,Isaiah Todd,6-10
