No.,Player,Ht
24,Mason Plumlee,6-11
6,Jalen McDaniels,6-9
25,P.J. Washington,6-7
4,Nick Richards,7-0
3,Terry Rozier,6-1
12,Kelly Oubre Jr.,6-7
9,Théo Maledon  (TW),6-4
21,JT Thor,6-10
2,James Bouknight,6-5
23,Kai Jones,6-11
8,Dennis Smith Jr.,6-2
1,LaMelo Ball,6-7
20,Gordon Hayward,6-7
7,Bryce McGowens  (TW),6-7
5,Mark Williams,7-1
11,Cody Martin,6-5
