No.,Player,Ht
17,Onyeka Okongwu,6-8
1,Jalen Johnson,6-9
14,AJ Griffin,6-6
11,Trae Young,6-1
5,Dejounte Murray,6-4
3,Aaron Holiday,6-0
12,De'Andre Hunter,6-8
20,John Collins,6-9
15,Clint Capela,6-10
8,Justin Holiday,6-6
0,Frank Kaminsky,7-0
13,Bogdan Bogdanović,6-6
27,Vit Krejci,6-8
2,Trent Forrest  (TW),6-4
22,Tyrese Martin,6-6
,Derrick Favors,6-9
,Donovan Williams  (TW),6-6
