No.,Player,Ht
31,Max Strus,6-5
13,Bam Adebayo,6-9
7,Kyle Lowry,6-0
16,Caleb Martin,6-5
14,Tyler Herro,6-5
24,Haywood Highsmith,6-7
22,Jimmy Butler,6-7
2,Gabe Vincent,6-3
21,Dewayne Dedmon,7-0
55,Duncan Robinson,6-7
4,Victor Oladipo,6-4
25,Orlando Robinson  (TW),7-0
5,Nikola Jović,6-10
8,Jamal Cain  (TW),6-7
40,Udonis Haslem,6-8
,Omer Yurtseven,7-0
