No.,Player,Ht
0,Russell Westbrook,6-3
7,Troy Brown Jr.,6-6
12,Kendrick Nunn,6-2
35,Wenyen Gabriel,6-9
21,Patrick Beverley,6-1
6,LeBron James,6-9
15,Austin Reaves,6-5
4,Lonnie Walker IV,6-4
31,Thomas Bryant,6-10
17,Dennis Schröder,6-3
10,Max Christie,6-6
95,Juan Toscano-Anderson,6-6
3,Anthony Davis,6-10
30,Damian Jones,6-11
14,Scotty Pippen Jr.  (TW),6-3
20,Cole Swider  (TW),6-9
