No.,Player,Ht
40,Harrison Barnes,6-8
0,Malik Monk,6-3
15,Davion Mitchell,6-2
10,Domantas Sabonis,6-11
13,Keegan Murray,6-8
5,De'Aaron Fox,6-3
9,Kevin Huerter,6-7
41,Trey Lyles,6-9
3,Terence Davis,6-4
7,Chimezie Metu,6-9
30,KZ Okpala,6-8
22,Richaun Holmes,6-10
8,Matthew Dellavedova,6-3
25,Alex Len,7-0
23,Keon Ellis  (TW),6-6
88,Neemias Queta  (TW),7-0
