No.,Player,Ht
3,Jordan Poole,6-4
5,Kevon Looney,6-9
23,Draymond Green,6-6
4,Moses Moody,6-6
40,Anthony Lamb  (TW),6-6
0,Donte DiVincenzo,6-4
11,Klay Thompson,6-6
00,Jonathan Kuminga,6-8
30,Stephen Curry,6-2
1,JaMychal Green,6-8
22,Andrew Wiggins,6-7
10,Ty Jerome  (TW),6-5
33,James Wiseman,7-0
7,Patrick Baldwin Jr.,6-9
2,Ryan Rollins,6-4
9,Andre Iguodala,6-6
