No.,Player,Ht
14,Terance Mann,6-5
40,Ivica Zubac,7-0
33,Nicolas Batum,6-8
8,Marcus Morris,6-8
1,Reggie Jackson,6-2
24,Norman Powell,6-3
7,Amir Coffey,6-7
11,John Wall,6-3
9,Moses Brown  (TW),7-2
13,Paul George,6-8
5,Luke Kennard,6-5
23,Robert Covington,6-7
2,Kawhi Leonard,6-7
4,Brandon Boston Jr.,6-7
25,Moussa Diabaté  (TW),6-11
0,Jason Preston,6-4
