No.,Player,Ht
25,Mikal Bridges,6-6
10,Damion Lee,6-5
0,Torrey Craig,6-7
22,Deandre Ayton,6-11
2,Josh Okogie,6-4
11,Jock Landale,6-11
18,Bismack Biyombo,6-8
14,Landry Shamet,6-4
1,Devin Booker,6-5
12,Ish Wainright  (TW),6-6
15,Cameron Payne,6-1
4,Duane Washington Jr.  (TW),6-3
20,Dario Šarić,6-10
3,Chris Paul,6-0
23,Cameron Johnson,6-8
38,Saben Lee,6-2
,Jae Crowder,6-6
