No.,Player,Ht
17,Shaedon Sharpe,6-6
9,Jerami Grant,6-8
1,Anfernee Simons,6-3
11,Josh Hart,6-5
24,Drew Eubanks,6-9
27,Jusuf Nurkić,6-11
0,Damian Lillard,6-2
2,Trendon Watford,6-9
26,Justise Winslow,6-6
34,Jabari Walker,6-9
10,Nassir Little,6-5
6,Keon Johnson,6-5
4,Greg Brown III,6-9
00,Gary Payton II,6-3
21,John Butler  (TW),7-1
,Ibou Badji  (TW),7-1
