No.,Player,Ht
5,Kentavious Caldwell-Pope,6-5
11,Bruce Brown,6-4
0,Christian Braun,6-7
15,Nikola Jokić,6-11
50,Aaron Gordon,6-8
27,Jamal Murray,6-3
3,Bones Hyland,6-3
22,Zeke Nnaji,6-9
31,Vlatko Čančar,6-8
1,Michael Porter Jr.,6-10
6,DeAndre Jordan,6-11
9,Davon Reed,6-5
32,Jeff Green,6-8
14,Ish Smith,6-0
10,Jack White  (TW),6-7
8,Peyton Watson,6-8
,Collin Gillespie  (TW),6-3
