No.,Player,Ht
5,Malik Beasley,6-4
00,Jordan Clarkson,6-4
8,Jarred Vanderbilt,6-9
24,Walker Kessler,7-1
23,Lauri Markkanen,7-0
41,Kelly Olynyk,6-11
0,Talen Horton-Tucker,6-4
11,Mike Conley,6-1
2,Collin Sexton,6-1
22,Rudy Gay,6-8
6,Nickeil Alexander-Walker,6-6
30,Ochai Agbaji,6-5
16,Simone Fontecchio,6-8
20,Udoka Azubuike,6-10
10,Leandro Bolmaro,6-6
25,Micah Potter  (TW),6-10
,Johnny Juzang  (TW),6-7
