No.,Player,Ht
5,Luguentz Dort,6-3
2,Shai Gilgeous-Alexander,6-6
8,Jalen Williams,6-6
3,Josh Giddey,6-8
23,Tre Mann,6-3
11,Isaiah Joe,6-4
34,Kenrich Williams,6-6
21,Aaron Wiggins,6-6
33,Mike Muscala,6-10
17,Aleksej Pokusevski,7-0
55,Darius Bazley,6-8
50,Jeremiah Robinson-Earl,6-9
97,Eugene Omoruyi  (TW),6-7
6,Jaylin Williams,6-10
13,Ousmane Dieng,6-10
,Chet Holmgren,7-0
