No.,Player,Ht
1,Anthony Edwards,6-4
4,Jaylen Nowell,6-4
0,D'Angelo Russell,6-4
3,Jaden McDaniels,6-9
27,Rudy Gobert,7-1
11,Naz Reid,6-9
5,Kyle Anderson,6-9
25,Austin Rivers,6-4
12,Taurean Prince,6-7
13,Nathan Knight,6-10
10,Bryn Forbes,6-2
32,Karl-Anthony Towns,6-11
7,Wendell Moore Jr.,6-5
6,Jordan McLaughlin,5-11
55,Luka Garza  (TW),6-11
37,Matt Ryan  (TW),6-7
8,Josh Minott,6-8
